name,slug,price,quantity,description,category_id,image
"Nivia Gym Bag","nivia-gym-bag",1299,45,"Spacious duffle bag, separate shoe compartment",5,
"Fitbit Charge 5","fitbit-charge-5",14999,35,"Advanced fitness tracker, heart rate, GPS, stress management",5,
"Lakme Absolute Lipstick","lakme-absolute-lipstick",799,100,"Matte finish, long-lasting, multiple shades",6,
"Maybelline Fit Me Foundation","maybelline-fit-me-foundation",599,90,"Natural finish, SPF protection, multiple shades",6,
"Biotique Bio Kelp Shampoo","biotique-bio-kelp-shampoo",399,80,"Natural protein shampoo for falling hair",6,
"Nivea Soft Moisturizer","nivea-soft-moisturizer",299,120,"Light moisturizing cream, vitamin E, jojoba oil",6,
"Gillette Mach 3 Razor","gillette-mach-3-razor",399,70,"3-blade razor system, 1 handle + 2 cartridges",6,
"Dove Soap Bar","dove-soap-bar",199,150,"Moisturizing beauty bar, 1/4 moisturizing cream",6,
"Plum Green Tea Face Wash","plum-green-tea-face-wash",449,85,"Oil-free, alcohol-free, pore cleansing",6,
"LEGO Classic Creative Bricks","lego-classic-creative-bricks",3999,40,"790 pieces, creative building set for kids 4+",7,
"Hot Wheels 20 Car Pack","hot-wheels-20-car-pack",1999,50,"Die-cast cars, 1:64 scale, assorted designs",7,
"Barbie Dreamhouse","barbie-dreamhouse",8999,20,"3-story dollhouse with 8 rooms, furniture included",7,
"Nerf N-Strike Elite Disruptor","nerf-elite-disruptor",2499,35,"Rotating drum blaster, 6 darts, 27m range",7,
"Rubik's Cube 3x3","rubiks-cube-3x3",499,80,"Original Rubik's cube, smooth rotation",7,
"Monopoly Board Game","monopoly-board-game",1999,40,"Classic family board game, 2-8 players",7,
"Play-Doh Modeling Compound","playdoh-modeling-compound",799,60,"Pack of 10 colors, non-toxic, 2oz each",7,
"Fortune Sunflower Oil 5L","fortune-sunflower-oil-5l",999,40,"Refined sunflower oil, rich in Vitamin A & D",8,
"Tata Salt 1kg","tata-salt-1kg",25,200,"Iodized salt, vacuum evaporated",8,
"India Gate Basmati Rice 5kg","india-gate-basmati-rice-5kg",599,50,"Premium basmati rice, aged, long grain",8,
"Britannia Good Day Cookies","britannia-good-day-cookies",50,150,"Butter cookies, 150g pack",8,
"Maggi 2-Minute Noodles","maggi-2minute-noodles",12,300,"Instant noodles, masala flavor, 70g",8,
"Amul Butter 500g","amul-butter-500g",299,80,"Pure milk butter, salted",8,
"Nescafe Classic Coffee","nescafe-classic-coffee",399,70,"Instant coffee powder, 100g jar",8,
"Colgate Total Toothpaste","colgate-total-toothpaste",149,120,"Advanced whitening, 150g",8,
"Dettol Antiseptic Liquid","dettol-antiseptic-liquid",199,90,"750ml, kills 99.9% germs",8,
"Himalaya Wellness Ashwagandha","himalaya-ashwagandha",299,60,"60 tablets, stress relief, immunity booster",11,
"Neuherbs Green Coffee Beans","neuherbs-green-coffee-beans",799,50,"200g, weight management, natural antioxidants",11,
"HealthKart Multivitamin","healthkart-multivitamin",599,55,"60 tablets, daily nutrition support",11,
"Dr. Morepen Glucometer","dr-morepen-glucometer",899,35,"Blood glucose monitoring system with 25 strips",11,
"Omron Blood Pressure Monitor","omron-blood-pressure-monitor",2999,30,"Digital BP monitor, large display, irregular heartbeat detection",11,
"Dr. Trust Weighing Scale","dr-trust-weighing-scale",1299,45,"Digital body weight scale, 180kg capacity",11,
"Vicks Vaporub 50ml","vicks-vaporub-50ml",149,100,"Medicated ointment for cold relief",11,
"3M N95 Respirator Mask","3m-n95-respirator-mask",599,80,"Pack of 10, dust and pollution protection",11,
"Bosch Car Battery","bosch-car-battery",6999,20,"12V 65Ah, maintenance-free, 36 months warranty",12,
"Castrol Engine Oil 5W30","castrol-engine-oil-5w30",1999,40,"Fully synthetic, 3.5L, superior engine protection",12,
"Michelin Car Tyre","michelin-car-tyre",5999,25,"185/65 R15, tubeless, all-season performance",12,
"Wiper Blades Set","wiper-blades-set",799,50,"Universal fit, 18-20 inch, rubber blades",12,
"Philips H4 Headlight Bulb","philips-h4-headlight-bulb",499,60,"12V 60/55W, longer lifetime, better visibility",12,
"Mothers California Gold Car Wash","mothers-car-wash",699,45,"473ml, pH balanced, scratch-free cleaning",12,
"3M Car Air Freshener","3m-car-air-freshener",299,80,"Organic, lasts 60 days, new car scent",12,
"Pampers Active Baby Diapers","pampers-active-baby-diapers",1499,60,"Large size, 68 count, 12hrs absorption",13,
"Johnson's Baby Shampoo","johnsons-baby-shampoo",299,80,"No more tears formula, 500ml",13,
"Himalaya Baby Lotion","himalaya-baby-lotion",199,70,"Moisturizing lotion, 400ml, natural ingredients",13,
"Mee Mee Baby Wipes","mee-mee-baby-wipes",149,100,"80 wipes, alcohol-free, gentle on skin",13,
"Chicco Baby Bottle","chicco-baby-bottle",599,50,"250ml, anti-colic, BPA-free",13,
"LuvLap Baby Walker","luvlap-baby-walker",3999,20,"Musical walker, height adjustable, safety certified",13,
"Pigeon Nipple Puller","pigeon-nipple-puller",299,60,"Silicone, easy grip, safe for baby",13,
"Classmate Notebook Bundle","classmate-notebook-bundle",299,80,"Pack of 6 single line notebooks, 172 pages each",14,
"Reynolds Pen Set","reynolds-pen-set",99,150,"Pack of 10 blue ballpoint pens",14,
"Apsara Pencil Box","apsara-pencil-box",199,100,"12 graphite pencils, sharpener, eraser",14,
"Fevicol Glue 200g","fevicol-glue-200g",89,120,"Multi-purpose adhesive, non-toxic",14,
"HP LaserJet Printer","hp-laserjet-printer",14999,15,"Monochrome printer, USB connectivity, 1200dpi",14,
"Scotch Tape Dispenser","scotch-tape-dispenser",149,90,"With 3 rolls of tape, easy cut",14,
"Post-it Sticky Notes","postit-sticky-notes",199,110,"Pack of 3, 3x3 inch, assorted colors",14,
"Stapler with 1000 Pins","stapler-with-pins",249,85,"Heavy duty stapler, 20 sheet capacity",14,
"Drools Adult Dog Food 10kg","drools-adult-dog-food-10kg",2499,30,"Chicken and rice recipe, complete nutrition",15,
"Whiskas Cat Food 1.2kg","whiskas-cat-food-1kg",599,45,"Tuna flavor, dry food, adult cats",15,
"Pedigree Puppy Food 3kg","pedigree-puppy-food-3kg",899,40,"DHA & calcium for growth, chicken flavor",15,
"Pawzone Dog Leash","pawzone-dog-leash",399,60,"Nylon rope, 1.5m, medium dogs",15,
"Trixie Cat Litter 10L","trixie-cat-litter-10l",799,35,"Natural clay litter, odor control",15,
"Foodie Puppies Pet Bed","foodie-puppies-pet-bed",1499,25,"Soft cushion bed, washable, medium size",15,
"Choostix Dog Treats","choostix-dog-treats",199,70,"Real chicken, 450g, dental care",15,
